field,s1-All CPS,s1-Constructed Wetland(656),s1-Cover Crop(340),s1-Grassed Waterway(412),s1-Nutrient Management(590),s1-Residue Management (No-Till)(329),s2-All CPS,s2-Constructed Wetland(656),s2-Cover Crop(340),s2-Nutrient Management(590),s2-Residue Management (No-Till)(329),s3-All CPS,s3-Constructed Wetland(656),s3-Cover Crop(340),s3-Grassed Waterway(412),s3-Nutrient Management(590),s3-Residue Management (No-Till)(329),s4-All CPS,s4-Constructed Wetland(656),s4-Cover Crop(340),s4-Grassed Waterway(412),s4-Nutrient Management(590),s4-Residue Management (No-Till)(329),s5-All CPS,s5-Constructed Wetland(656),s5-Cover Crop(340),s5-Nutrient Management(590),s5-Residue Management (No-Till)(329)
efficiency_TN_std,0.11198904673358012,0.0,0.0998543080425464,,0.12960356675353865,0.10455862137409332,0.10712539750578558,0.05386838200552789,0.11512965674792065,0.106296205313754,0.10490584606225452,0.1041562719003022,0.3509248365263223,0.1180260083497949,,0.10074346416009544,0.09513935385433285,0.06819748749769218,0.0,0.0667148254147597,,0.0684069629406344,0.06955565768967674,0.097057182542581,0.13514083682333766,0.09907315049776806,0.10982080092321898,0.0873480146558867
efficiency_TP_count,1000,3,196,1,316,484,1000,8,209,310,473,1000,5,191,1,310,493,1000,11,185,1,307,496,1000,4,186,308,502
efficiency_TP_max,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_mean,0.9831249809361766,1.0,0.9857039780772221,1.0,0.9774429835753209,0.9856508645108257,0.9864060767156532,0.9771326981915327,0.9848610001542463,0.9861432808298027,0.9874178626652104,0.9855116151773814,0.8550336627972218,0.9809931115381708,1.0,0.9862811120134677,0.9880722471306891,0.9938503687856904,1.0,0.9936156066332795,1.0,0.9941213451281509,0.9936214286374826,0.9873024529505171,0.9324295815883312,0.98769040605525,0.9851040576868965,0.9889447596221578
efficiency_TP_min,0.003358223075514172,1.0,0.003358223075514172,1.0,0.006619030683956132,0.019461545356877934,0.003358223075514172,0.8584459298128228,0.010789974214849368,0.006619030683956132,0.003358223075514172,0.0005717241066235435,0.2751683139861096,0.049903870058206484,1.0,0.009030775189038205,0.0005717241066235435,0.0355806955894073,1.0,0.15579260037344916,1.0,0.04737811585432714,0.0355806955894073,0.00044133916679826553,0.7297183263533247,0.004757195158919949,0.00044133916679826553,0.009030775189038205
efficiency_TP_p25,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9896539139298596,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9324295815883312,1.0,1.0,1.0
efficiency_TP_p50,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_p75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
efficiency_TP_std,0.10956212873549497,0.0,0.0967162386375236,,0.12954277602013278,0.1003716511805215,0.10582654469807232,0.05009549566590946,0.11538715162579712,0.10500892142669407,0.10284246655763071,0.10303914713226167,0.3241545844345685,0.11674183772214285,,0.10064871457789745,0.09428626338601101,0.06790447386650664,0.0,0.06670223724876405,,0.0684069629406344,0.06897975808734316,0.09721160086454682,0.13514083682333766,0.09988824027457303,0.10982080092321898,0.0873480146558867
failures_count,224,1,55,0,69,99,242,2,46,76,118,246,0,54,0,74,118,243,4,42,0,75,122,240,0,47,71,122
