2026-05-18 10:54:53,489 [DEBUG] Logger initialized
2026-05-18 10:54:53,489 [INFO] Starting model run
2026-05-18 10:54:53,489 [INFO] Config: C:\Users\GEVENSON\Data\bmp\basin-bmp-sim\examples\east_fork.yaml
2026-05-18 10:54:53,489 [INFO] Logging to: outputs\log_20260518_105453.txt
2026-05-18 10:54:53,888 [DEBUG] Sampled value 0.232148 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,889 [DEBUG] Sampled value 0.235524 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,890 [DEBUG] Sampled value 48.237 from stats={'min': np.int64(30), 'max': np.int64(120), 'mean': np.int64(60), 'p50': np.int64(60)} kind=None low=None high=None
2026-05-18 10:54:53,911 [DEBUG] Sampled value 0.114375 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,912 [DEBUG] Sampled value 0.172559 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,912 [DEBUG] Sampled value 0.412042 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,914 [DEBUG] Sampled value 21.697 from stats={'min': np.int64(10), 'max': np.int64(60), 'mean': np.int64(35), 'p50': np.int64(35)} kind=None low=None high=None
2026-05-18 10:54:53,934 [DEBUG] Sampled value 0.138078 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,935 [DEBUG] Sampled value 0.29715 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
2026-05-18 10:54:53,936 [DEBUG] Sampled value 0.234219 from stats={'min': np.float64(0.05), 'max': np.float64(0.5), 'mean': np.float64(0.2), 'p50': np.float64(0.2)} kind=efficiency low=0.0 high=1.0
